"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\edit-recipe-modal\edit-recipe-modal.component.html", "HTML", 0, 0, -209, 0, 0, -2, -4, -215
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\edit-recipe-modal\edit-recipe-modal.component.ts", "TypeScript", 0, -227, 0, 0, 0, -7, -18, -252
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\recipe-shopping-list-modal\recipe-shopping-list-modal.component.html", "HTML", 0, 0, -43, 0, 0, -2, -2, -47
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\recipe-shopping-list-modal\recipe-shopping-list-modal.component.ts", "TypeScript", 0, -31, 0, 0, 0, 0, -5, -36
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\subscribe-recipe-modal\subscribe-recipe-modal.component.html", "HTML", 0, 0, -197, 0, 0, -11, -6, -214
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\subscribe-recipe-modal\subscribe-recipe-modal.component.ts", "TypeScript", 0, -247, 0, 0, 0, -11, -24, -282
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\unsubscribe-recipe-modal\unsubscribe-recipe-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\unsubscribe-recipe-modal\unsubscribe-recipe-modal.component.ts", "TypeScript", 0, -58, 0, 0, 0, 0, -9, -67
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\use-recipe-modal\use-recipe-modal.component.html", "HTML", 0, 0, -90, 0, 0, -3, -7, -100
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\ui\use-recipe-modal\use-recipe-modal.component.ts", "TypeScript", 0, -107, 0, 0, 0, -4, -10, -121
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\user-recipe\user-recipe.component.html", "HTML", 0, 0, -509, 0, 0, -12, -7, -528
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipe\user-recipe\user-recipe.component.ts", "TypeScript", 0, -584, 0, 0, 0, -12, -25, -621
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\feature\discover\discover-recipes.component.html", "HTML", 0, 0, -1, 0, 0, 0, -1, -2
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\feature\discover\discover-recipes.component.ts", "TypeScript", 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\feature\list\recipe-list.component.html", "HTML", 0, 0, -103, 0, 0, -5, -3, -111
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\feature\list\recipe-list.component.ts", "TypeScript", 0, -273, 0, 0, 0, -5, -12, -290
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component-new.html", "HTML", 0, 0, -42, 0, 0, -2, -1, -45
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component-new.ts", "TypeScript", 0, -42, 0, 0, 0, 0, -4, -46
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.html", "HTML", 0, 0, -413, 0, 0, -13, -11, -437
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.scss", "SCSS", 0, 0, 0, 0, -8, 0, -1, -9
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\recipes-page.component.ts", "TypeScript", 0, -625, 0, 0, 0, -20, -49, -694
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\test.drawio", "Draw.io", 0, 0, 0, -59, 0, 0, 0, -59
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\recipe-category-card\recipe-category-card.component.html", "HTML", 0, 0, -36, 0, 0, 0, -2, -38
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-category\recipe-category-card\recipe-category-card.component.ts", "TypeScript", 0, -20, 0, 0, 0, 0, -3, -23
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\add-recipe-ingredient-modal\add-recipe-ingredient-modal.component.html", "HTML", 0, 0, -152, 0, 0, -2, -3, -157
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\add-recipe-ingredient-modal\add-recipe-ingredient-modal.component.ts", "TypeScript", 0, -181, 0, 0, 0, -4, -16, -201
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\delete-recipe-ingredient-modal\delete-recipe-ingredient-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\delete-recipe-ingredient-modal\delete-recipe-ingredient-modal.component.ts", "TypeScript", 0, -60, 0, 0, 0, -1, -7, -68
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\recipe-ingredients-modal\recipe-ingredients-modal.component.html", "HTML", 0, 0, -102, 0, 0, -2, -3, -107
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\recipe-ingredients-modal\recipe-ingredients-modal.component.ts", "TypeScript", 0, -211, 0, 0, 0, -6, -19, -236
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\add-recipe-step-modal\add-recipe-step-modal.component.html", "HTML", 0, 0, -127, 0, 0, -2, -4, -133
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\add-recipe-step-modal\add-recipe-step-modal.component.ts", "TypeScript", 0, -162, 0, 0, 0, -2, -20, -184
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\delete-recipe-step-modal\delete-recipe-step-modal.component.html", "HTML", 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\delete-recipe-step-modal\delete-recipe-step-modal.component.ts", "TypeScript", 0, -63, 0, 0, 0, -1, -8, -72
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\edit-recipe-step-modal\edit-recipe-step-modal.component.html", "HTML", 0, 0, -107, 0, 0, -2, -4, -113
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\edit-recipe-step-modal\edit-recipe-step-modal.component.ts", "TypeScript", 0, -196, 0, 0, 0, -9, -17, -222
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\recipe-steps-modal\recipe-steps-modal.component.html", "HTML", 0, 0, -145, 0, 0, -2, -5, -152
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\recipe-steps-modal\recipe-steps-modal.component.ts", "TypeScript", 0, -501, 0, 0, 0, -25, -53, -579
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\add-recipe-tool-modal\add-recipe-tool-modal.component.html", "HTML", 0, 0, -111, 0, 0, -2, -3, -116
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\add-recipe-tool-modal\add-recipe-tool-modal.component.ts", "TypeScript", 0, -108, 0, 0, 0, 0, -10, -118
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\delete-recipe-tool-modal\delete-recipe-tool-modal.component.html", "HTML", 0, 0, -51, 0, 0, 0, -1, -52
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\delete-recipe-tool-modal\delete-recipe-tool-modal.component.ts", "TypeScript", 0, -67, 0, 0, 0, -1, -7, -75
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\recipe-tools-modal\recipe-tools-modal.component.html", "HTML", 0, 0, -97, 0, 0, -2, -3, -102
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\recipe-tools-modal\recipe-tools-modal.component.ts", "TypeScript", 0, -228, 0, 0, 0, -2, -18, -248
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\add-recipe-modal\add-recipe-modal.component.html", "HTML", 0, 0, -226, 0, 0, -8, -4, -238
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\add-recipe-modal\add-recipe-modal.component.ts", "TypeScript", 0, -186, 0, 0, 0, -2, -20, -208
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\recipe-card\recipe-card.component.html", "HTML", 0, 0, -42, 0, 0, 0, -1, -43
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\recipe-card\recipe-card.component.ts", "TypeScript", 0, -22, 0, 0, 0, 0, -4, -26
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipes-info\recipes-info.component.html", "HTML", 0, 0, -4, 0, 0, 0, -1, -5
