"filename", "language", "JSON", "JavaScript", "Log", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\add-recipe-ingredient-modal\add-recipe-ingredient-modal.component.html", "HTML", 0, 0, 0, 0, -157, 0, 0, -2, -3, -162
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\add-recipe-ingredient-modal\add-recipe-ingredient-modal.component.ts", "TypeScript", 0, 0, 0, -140, 0, 0, 0, -4, -14, -158
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\delete-recipe-ingredient-modal\delete-recipe-ingredient-modal.component.html", "HTML", 0, 0, 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\delete-recipe-ingredient-modal\delete-recipe-ingredient-modal.component.ts", "TypeScript", 0, 0, 0, -60, 0, 0, 0, -1, -7, -68
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\recipe-ingredients-modal\recipe-ingredients-modal.component.html", "HTML", 0, 0, 0, 0, -106, 0, 0, -2, -3, -111
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-ingredient\recipe-ingredients-modal\recipe-ingredients-modal.component.ts", "TypeScript", 0, 0, 0, -211, 0, 0, 0, -6, -19, -236
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\add-recipe-step-modal\add-recipe-step-modal.component.html", "HTML", 0, 0, 0, 0, -133, 0, 0, -2, -4, -139
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\add-recipe-step-modal\add-recipe-step-modal.component.ts", "TypeScript", 0, 0, 0, -162, 0, 0, 0, -2, -20, -184
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\delete-recipe-step-modal\delete-recipe-step-modal.component.html", "HTML", 0, 0, 0, 0, -48, 0, 0, 0, -1, -49
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\delete-recipe-step-modal\delete-recipe-step-modal.component.ts", "TypeScript", 0, 0, 0, -63, 0, 0, 0, -1, -8, -72
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\edit-recipe-step-modal\edit-recipe-step-modal.component.html", "HTML", 0, 0, 0, 0, -107, 0, 0, -2, -4, -113
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\edit-recipe-step-modal\edit-recipe-step-modal.component.ts", "TypeScript", 0, 0, 0, -196, 0, 0, 0, -9, -16, -221
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\recipe-steps-modal\recipe-steps-modal.component.html", "HTML", 0, 0, 0, 0, -148, 0, 0, -2, -5, -155
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-step\recipe-steps-modal\recipe-steps-modal.component.ts", "TypeScript", 0, 0, 0, -501, 0, 0, 0, -25, -53, -579
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\add-recipe-tool-modal\add-recipe-tool-modal.component.html", "HTML", 0, 0, 0, 0, -111, 0, 0, -2, -3, -116
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\add-recipe-tool-modal\add-recipe-tool-modal.component.ts", "TypeScript", 0, 0, 0, -108, 0, 0, 0, 0, -10, -118
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\delete-recipe-tool-modal\delete-recipe-tool-modal.component.html", "HTML", 0, 0, 0, 0, -51, 0, 0, 0, -1, -52
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\delete-recipe-tool-modal\delete-recipe-tool-modal.component.ts", "TypeScript", 0, 0, 0, -67, 0, 0, 0, -1, -7, -75
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\recipe-tools-modal\recipe-tools-modal.component.html", "HTML", 0, 0, 0, 0, -100, 0, 0, -2, -3, -105
